V1,V2,V3,V4,V5,V7,V8,V9,V10,consent,Q71_1_TEXT,Q71_2_TEXT,Q71_3_TEXT,Q71_4_TEXT,Q71_5_TEXT,Q71_6_TEXT,Q71_7_TEXT,Q69,gender,state,age,educ,race,ethn,pid,pid_TEXT,pid_d,pid_r,pid_i,ideo,ideo_l,ideo_c,ideo_m,pol_int,attn_check_1,attn_check_2,attn_check_3,attn_check_4,attn_check_5,attn_check_6,attn_check_7,attn_check_8,attn_check_9,attn_check_10,Q11,know1,know2,Q27,know5,know6,know7,DT,DT_hear,Q15_1,Q15_2,Q15_3,Q15_4,DC,DC_hear,Q16_1,Q16_2,Q16_3,Q16_4,RT,RT_hear,Q17_1,Q17_2,Q17_3,Q17_4,RC,RC_hear,Q18_1,Q18_2,Q18_3,Q18_4,Q48,Q49,Q50_1,Q50_2,Q50_3,Q50_4,FT_1,FT_2,FT_3,FT_4,FT_5,FT_6,Dem_traits_1,Dem_traits_2,Dem_traits_3,Dem_traits_4,Dem_traits_5,Dem_traits_6,Dem_traits_7,Dem_traits_8,Rep_traits_1,Rep_traits_2,Rep_traits_3,Rep_traits_4,Rep_traits_5,Rep_traits_6,Rep_traits_7,Rep_traits_8,pty_place_1,pty_place_2,pty_place_3,pty_place_4,pty_place_5,pty_place_6,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Rep_traits_1,Rep_traits_2,Rep_traits_3,Rep_traits_4,Rep_traits_5,Rep_traits_6,Rep_traits_7,Rep_traits_8,Dem_traits_1,Dem_traits_2,Dem_traits_3,Dem_traits_4,Dem_traits_5,Dem_traits_6,Dem_traits_7,Dem_traits_8,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,D_T_MC,D_C_MC,R_T_MC,R_C_MC,P_MC,Q64,D_T,D_C,R_T,R_C,Plac
R_b1aEjsReWCMuQPH,Default Response Set,Anonymous,,,0,11/25/13 11:27,11/25/13 11:30,1,1,,,,,,,,1,1,11,1,4,1,2,2,,,2,,2,,,3,3,,,1,,1,,,,,,1,2,5,1,1,1,1,,,,,,,1,1,32.76,33.681,34.367,2,,,,,,,,,,,,,,,,,,,50,61,82,50,71,30,3,3,3,2,4,3,4,4,2,3,4,3,4,4,4,3,2,6,2,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,
R_863Cjm5H248uLXf,Default Response Set,Anonymous,,,0,11/25/13 11:27,11/25/13 11:30,1,1,,,,,,,,1,1,37,2,5,1,2,3,,,,2,1,2,,,1,,,1,,1,,,,,,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10.28,10.28,39.187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,40,38,50,54,5,4,1,5,5,4,1,5,4,4,4,4,4,4,4,4,3.3,7,4.2,7,1.6,5.5,,,,,2,1,,,,,
R_3mIOqy6DU5YDGcJ,Default Response Set,Anonymous,,,0,11/25/13 11:27,11/25/13 11:31,1,1,,,,,,,,1,2,47,1,4,1,2,1,,2,,,1,2,,,3,,,1,,1,,,,,,1,1,5,1,1,1,1,,,,,,,1,2,46.628,63.691,66.785,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,27,51,50,51,50,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3.5,5.7,3.6,6.1,2.9,4,,3,,,,4,,,,,
R_3WbStOjTu4e5sqN,Default Response Set,Anonymous,,,0,11/25/13 11:27,11/25/13 11:32,1,1,,,,,,,,1,1,14,1,3,1,2,3,,,,1,2,,,3,4,,,1,,1,,,,,,1,5,5,1,1,1,2,,,,,,,,,,,,,1,2,5.46,56.499,57.435,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,45,50,40,60,30,3,4,4,3,3,4,4,3,4,3,2,3,3,3,3,4,1.8,5.3,1.6,5.4,1.7,4.1,,,2,,,4,,,,,
R_b9QyEWI4MPXqIgl,Default Response Set,Anonymous,,,0,11/25/13 11:26,11/25/13 11:33,1,1,,,,,,,,1,1,23,2,4,1,2,1,,2,,,1,2,,,4,,,1,,1,,,,,,1,5,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.898,5.898,31.219,1,90,11,83,65,93,60,2,4,4,2,1,4,4,2,4,2,2,5,4,3,2,4,1.7,6.6,2,5.9,2.1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,
R_08I9FFjgaIgDlt3,Default Response Set,Anonymous,,,0,11/25/13 11:27,11/25/13 11:33,1,1,,,,,,,,1,2,48,2,3,1,2,2,,,2,,2,,,3,3,,,1,,1,,,,,,1,5,4,1,1,5,2,1,2,65.118,65.118,66.319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,69,70,70,91,25,1,3,3,2,3,5,3,2,3,2,3,4,3,3,4,4,2,6.5,1,4,1.6,7,1,,,,,5,,,,,
R_8dWKDB5vsFjJyXH,Default Response Set,Anonymous,,,0,11/25/13 11:28,11/25/13 11:33,1,1,,,,,,,,1,2,11,1,3,1,2,3,,,,1,3,,1,,4,,,1,,1,,,,,,1,1,5,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,2,57.329,57.329,58.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,70,70,70,70,50,2,4,4,2,2,4,4,2,4,4,4,4,2,4,4,2,2,6,3,4,3,4,,,,,2,5,,,,,
R_6YwhXKhvSqQd8Lb,Default Response Set,Anonymous,,,0,11/25/13 11:27,11/25/13 11:33,1,1,,,,,,,,1,2,5,3,3,1,2,1,,1,,,1,1,,,2,,,1,,1,,,,,,1,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,66.861,66.861,67.611,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,2,70,49,80,21,3,2,2,4,4,4,2,4,2,4,4,3,2,4,5,2,4,6.1,4.2,7,4.2,5.3,,,,,2,2,,,,,
R_eRRDlKNLDzRVYjP,Default Response Set,Anonymous,,,0,11/25/13 11:29,11/25/13 11:34,1,1,,,,,,,,1,2,18,2,3,1,2,2,,,2,,4,,,,4,,,1,,1,,,,,,1,5,5,1,5,1,1,,,,,,,1,2,63.036,63.036,63.84,1,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,1.9,6.1,2,4.1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6,,,,,
R_8odtEfDadNAtMc5,Default Response Set,Anonymous,,,0,11/25/13 11:29,11/25/13 11:34,1,1,,,,,,,,1,2,39,2,4,1,2,1,,2,,,1,2,,,3,,,1,,1,,,,,,1,5,3,1,1,2,1,1,2,55.215,55.215,56.719,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,33,50,51,50,36,3,2,2,4,4,4,2,4,2,4,4,2,2,4,4,2,2.2,6.5,2,4,2.1,5.5,1,,,,,5,,,,,
R_8kaYTNOicJVmBOR,Default Response Set,Anonymous,,,0,11/25/13 11:30,11/25/13 11:36,1,1,,,,,,,,1,1,5,2,3,1,2,1,,1,,,1,2,,,2,,,1,,1,,,,,,1,5,5,1,2,1,1,,,,,,,,,,,,,1,2,1.623,43.401,44.992,2,,,,,,,,,,,,,88,3,80,50,85,50,1,4,5,1,1,5,4,1,5,1,1,5,5,2,3,4,1,7,1,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,
R_exq82jYNcxMOrg9,Default Response Set,Anonymous,,,0,11/25/13 11:29,11/25/13 11:36,1,1,,,,,,,,1,2,5,3,4,1,2,3,,,,2,2,,,3,4,,,1,,1,,,,,,1,1,5,1,1,1,1,,,,,,,1,1,57.61,57.61,59.616,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,71,50,75,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.2,4,4,3,4,,1,,,,5,,,,,
R_cvwgEnHjjpmIT8V,Default Response Set,Anonymous,,,0,11/25/13 11:30,11/25/13 11:36,1,1,,,,,,,,1,1,14,2,4,1,2,1,,1,,,1,2,,,3,,,1,,1,,,,,,1,5,5,1,1,1,1,,,,,,,,,,,,,,,,,,,1,2,59.824,59.824,60.731,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,30,90,50,100,40,2,2,2,5,4,4,2,3,2,5,4,2,1,4,5,3,2,7,1,7,2,6,,,,3,,4,,,,,
R_brM3ULtixD1K1O5,Default Response Set,Anonymous,,,0,11/25/13 11:30,11/25/13 11:36,1,1,,,,,,,,1,1,5,2,3,4,1,4, ,,,2,4,,,,4,,,1,,1,,,,,,1,5,1,1,1,1,1,,,,,,,1,2,81.599,81.599,82.683,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,90,50,100,30,3,2,2,3,4,4,1,4,4,2,1,3,4,4,1,4,5,7,4,5,3,4,,3,,,,5,,,,,
R_0CbqNuOvl86NsgZ,Default Response Set,Anonymous,,,0,11/25/13 11:31,11/25/13 11:36,1,1,,,,,,,,1,2,31,2,2,2,2,3,,,,2,2,,,2,5,,,1,,1,,,,,,1,5,5,1,5,1,1,,,,,,,1,2,13.305,13.305,46.064,1,,,,,,,,,,,,,,,,,,,77,9,92,67,94,34,3,3,3,3,3,3,3,3,3,1,1,5,5,1,1,3,1.8,6.7,3.5,3.9,3.3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6,,,,,
R_aY2OCDterVYAgrr,Default Response Set,Anonymous,,,0,11/25/13 11:30,11/25/13 11:36,1,1,,,,,,,,1,1,21,2,3,1,2,3,,,,2,2,,,2,1,,,1,,1,,,,,,1,1,1,1,1,1,1,1,2,8.086,8.086,31.402,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,99,44,98,4,3,1,1,5,5,3,3,5,3,1,1,5,5,4,3,5,1,7,1,6.2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,
R_2fu55Rsvm1lCUWV,Default Response Set,Anonymous,,,0,11/25/13 11:28,11/25/13 11:36,1,1,,,,,,,,1,1,5,2,4,3,2,1,,2,,,2,,,2,4,,,1,,1,,,,,,1,5,5,1,5,5,1,,,,,,,,,,,,,,,,,,,1,2,42.825,43.513,47.113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,10,50,45,91,6,3,3,3,4,3,4,2,3,2,3,4,2,3,4,3,3,4.9,3.4,5.7,3,5,2.9,,,,3,,6,,,,not too familiar with the differences between liberals and conservatives. you shouldn't assume that everyone knows the difference. ,
R_9BUco4z0NmfrktT,Default Response Set,Anonymous,,,0,11/25/13 11:30,11/25/13 11:36,1,1,,,,,,,,1,1,10,2,4,1,2,1,,1,,,2,,,1,4,,,1,,1,,,,,,1,1,5,1,2,1,1,1,1,13.656,62.241,63.577,2,,,,,,,,,,,,,,,,,,,,,,,,,90,50,90,80,90,60,2,4,4,1,1,3,5,1,4,3,2,3,4,3,2,3,1,6.1,1,6.8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,,,,
R_6KctiMFKbFILvnL,Default Response Set,Anonymous,,,0,11/25/13 11:30,11/25/13 11:37,1,1,,,,,,,,1,1,38,1,4,1,2,1,,2,,,1,2,,,2,,,1,,1,,,,,,1,1,3,1,1,1,1,,,,,,,,,,,,,1,1,103.973,103.973,104.831,1,,,,,,,,,,,,,65,35,60,50,85,50,2,4,4,3,2,4,4,2,4,4,2,3,4,4,2,3,2.5,5.5,2,6,2.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,
R_emxlKB9dA6TdeO9,Default Response Set,Anonymous,,,0,11/25/13 11:31,11/25/13 11:37,1,1,,,,,,,,1,2,5,2,4,2,2,1,,1,,,1,1,,,2,,,1,,1,,,,,,1,5,5,1,1,1,1,,,,,,,,,,,,,,,,,,,1,2,59.631,59.631,61.119,1,,,,,,,90,0,100,40,90,50,1,4,5,1,1,3,5,1,4,1,1,5,5,2,1,5,1.9,6.1,3,7,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,
