condition,mean_ti,95l_ti,95h_ti,parmid,cond_n,strong
control,0.7080904,0.6655802,0.7506005,1,1,1
control,0.6549479,0.626728,0.6831678,2,1,0
ip_reacts,0.7633929,0.7216907,0.805095,5,2,1
ip_reacts,0.6062112,0.5844268,0.6279956,6,2,0
ip_ignores,0.7492997,0.7126677,0.7859317,9,3,1
ip_ignores,0.628768,0.6051569,0.6523792,10,3,0
op_reacts,0.7479708,0.7073735,0.7885681,13,4,1
op_reacts,0.6501913,0.6243483,0.6760343,14,4,0
op_ignores,0.8027211,0.7607905,0.8446517,17,5,1
op_ignores,0.6375473,0.6100188,0.6650759,18,5,0
